"","n.gram","counts"
"5051","driveway",9
"5052","driving",57
"5053","drizzle",2
"5054","drizzled",4
"5055","drone",2
"5056","drooling",2
"5057","drop",51
"5058","dropbox",2
"5059","droplets",2
"5060","dropout",2
"5061","dropped",26
"5062","dropping",9
"5063","drops",11
"5064","drought",4
"5065","drove",26
"5066","drown",2
"5067","drucker",2
"5068","drug",34
"5069","drugs",27
"5070","drugstore",3
"5071","drum",12
"5072","drummer",7
"5073","drums",9
"5074","drunk",16
"5075","drunken",3
"5076","dry",52
"5077","dryer",2
"5078","drying",7
"5079","dryness",3
"5080","ds",3
"5081","dt",15
"5082","du",5
"5083","dual",7
"5084","duane",2
"5085","dub",2
"5086","dubai",3
"5087","dubbed",4
"5088","dublin",2
"5089","duchess",3
"5090","duck",15
"5091","ducked",2
"5092","ducks",13
"5093","duckswoh",2
"5094","duct",3
"5095","dud",2
"5096","dude",17
"5097","dudes",4
"5098","dudley",2
"5099","duds",2
"5100","due",94
"5101","dug",6
"5102","duh",3
"5103","dui",2
"5104","duke",7
"5105","dull",11
"5106","dullest",2
"5107","dumb",14
"5108","dumbass",2
"5109","dummies",2
"5110","dump",5
"5111","dumps",3
"5112","dumpster",3
"5113","duncan",5
"5114","dundee",2
"5115","dungeon",5
"5116","dunham",2
"5117","dunk",2
"5118","dunkin",2
"5119","dunlaw",2
"5120","dunn",5
"5121","dunno",2
"5122","duo",5
"5123","duplicate",2
"5124","duran",4
"5125","durand",2
"5126","durant",2
"5127","duration",4
"5128","durbin",2
"5129","durham",3
"5130","dusk",7
"5131","dust",21
"5132","dusters",2
"5133","dustin",2
"5134","dusting",3
"5135","dusty",9
"5136","dutch",6
"5137","duties",11
"5138","dutt",3
"5139","duty",26
"5140","dvd",11
"5141","dvds",3
"5142","dwarf",4
"5143","dwarfs",2
"5144","dwell",3
"5145","dwelling",4
"5146","dwight",5
"5147","dws",2
"5148","dye",2
"5149","dyeing",2
"5150","dying",25
"5151","dyla",2
"5152","dylan",9
"5153","dynamic",8
"5154","dynamics",3
"5155","dynamite",3
"5156","dynastic",3
"5157","dynasty",5
"5158","dysfunction",3
"5159","dysfunctional",3
"5160","dystopian",4
"5161","e",114
"5162","eagan",2
"5163","eager",11
"5164","eagerly",3
"5165","eagle",7
"5166","eagles",5
"5167","eah",70
"5168","eahquake",9
"5169","eahquakes",3
"5170","eahy",6
"5171","ear",10
"5172","earlier",98
"5173","earliest",5
"5174","early",161
"5175","earn",25
"5176","earned",30
"5177","earnest",3
"5178","earning",5
"5179","earnings",9
"5180","earns",4
"5181","earrings",2
"5182","ears",20
"5183","ease",21
"5184","eased",5
"5185","easel",2
"5186","easements",2
"5187","eases",2
"5188","easier",33
"5189","easiest",7
"5190","easily",50
"5191","east",75
"5192","eastbound",3
"5193","easter",21
"5194","easterling",2
"5195","eastern",23
"5196","eastlake",2
"5197","eastwood",2
"5198","easy",131
"5199","eat",104
"5200","eaten",17
"5201","eater",3
"5202","eaters",2
"5203","eatery",3
"5204","eating",44
"5205","eaton",3
"5206","eats",10
"5207","ebay",7
"5208","ebb",3
"5209","ebook",2
"5210","ebooks",2
"5211","ec",4
"5212","ecb",5
"5213","eccentric",4
"5214","ecco",2
"5215","echo",6
"5216","echoed",3
"5217","echoes",3
"5218","echoing",4
"5219","eclipse",2
"5220","eclipsed",2
"5221","ecm",2
"5222","ecmc",2
"5223","eco",3
"5224","ecology",5
"5225","economic",53
"5226","economical",4
"5227","economically",4
"5228","economics",2
"5229","economies",6
"5230","economist",5
"5231","economists",3
"5232","economy",66
"5233","ecotec",2
"5234","ecstasy",4
"5235","ecstatic",3
"5236","eczema",2
"5237","ed",18
"5238","eddie",7
"5239","eddy",3
"5240","eden",3
"5241","edgar",4
"5242","edge",30
"5243","edged",2
"5244","edges",20
"5245","edgewood",2
"5246","edgy",2
"5247","edible",7
"5248","edict",2
"5249","edinburgh",4
"5250","edison",6
"5251","edit",3
"5252","edited",9
"5253","editing",5
"5254","edition",21
"5255","editions",3
"5256","editor",17
"5257","editorial",3
"5258","edits",2
"5259","edl",3
"5260","edstrom",2
"5261","edt",3
"5262","edu",2
"5263","educate",4
"5264","educated",7
"5265","educating",6
"5266","education",109
"5267","educational",10
"5268","educator",3
"5269","educators",4
"5270","edward",10
"5271","edwardian",3
"5272","edwards",7
"5273","edwardsville",8
"5274","edwi",2
"5275","edwin",3
"5276","eel",2
"5277","een",3
"5278","eff",2
"5279","effaced",2
"5280","effect",54
"5281","effective",26
"5282","effectively",13
"5283","effectiveness",10
"5284","effects",20
"5285","efficiency",8
"5286","efficient",7
"5287","efficiently",2
"5288","effo",49
"5289","effolessly",2
"5290","effos",50
"5291","egalitarian",3
"5292","egg",30
"5293","egging",2
"5294","eggplant",7
"5295","eggs",28
"5296","ego",9
"5297","egregious",3
"5298","egypt",17
"5299","egyptian",8
"5300","egyptians",2
"5301","eh",7
"5302","ehow",2
"5303","ehrlich",2
"5304","eight",59
"5305","eighteen",2
"5306","eighteenth",3
"5307","eighth",17
"5308","eighty",2
"5309","einstein",2
"5310","either",132
"5311","ejected",2
"5312","el",6
"5313","elaborate",8
"5314","elaine",3
"5315","elbe",2
"5316","elbow",6
"5317","elder",5
"5318","elderly",11
"5319","eldest",2
"5320","elect",5
"5321","elected",27
"5322","election",43
"5323","elections",21
"5324","electoral",2
"5325","electorate",2
"5326","electric",28
"5327","electrical",9
"5328","electrician",2
"5329","electricity",13
"5330","electromagnetic",3
"5331","electron",3
"5332","electronic",10
"5333","electronics",11
"5334","elegance",2
"5335","elegant",6
"5336","element",13
"5337","elementary",19
"5338","elements",34
"5339","elend",2
"5340","elephant",9
"5341","elevate",3
"5342","elevated",9
"5343","elevator",3
"5344","eleven",7
"5345","elf",6
"5346","eli",2
"5347","elias",2
"5348","elicited",2
"5349","eligibility",6
"5350","eligible",14
"5351","elijah",2
"5352","eliminate",10
"5353","eliminated",2
"5354","eliminating",9
"5355","elimination",4
"5356","elise",2
"5357","elite",12
"5358","elites",4
"5359","elizabeth",24
"5360","elk",3
"5361","ella",2
"5362","elliott",4
"5363","elliptical",4
"5364","ellis",4
"5365","eloquently",2
"5366","else",137
"5367","elsewhere",20
"5368","elusive",2
"5369","elves",6
"5370","elvis",4
"5371","elway",2
"5372","ely",3
"5373","em",10
"5374","emaciated",2
"5375","email",47
"5376","emailed",6
"5377","emails",12
"5378","emancipation",3
"5379","emanuel",6
"5380","embark",3
"5381","embarked",2
"5382","embarks",2
"5383","embarrassed",3
"5384","embarrassing",13
"5385","embarrassment",4
"5386","embassy",6
"5387","embattled",2
"5388","embedded",6
"5389","embellishments",5
"5390","ember",6
"5391","emblazoned",2
"5392","embossed",2
"5393","embossing",5
"5394","embrace",10
"5395","embraced",3
"5396","embracing",12
"5397","embroidery",2
"5398","embryo",3
"5399","emerge",5
"5400","emerged",7
"5401","emergency",24
"5402","emerges",3
"5403","emerging",5
"5404","emily",7
"5405","emissions",3
"5406","emma",14
"5407","emmans",2
"5408","emmons",2
"5409","emotion",8
"5410","emotional",22
"5411","emotionally",7
"5412","emotions",18
"5413","emp",2
"5414","empathy",6
"5415","emperor",8
"5416","emphasis",7
"5417","emphasize",3
"5418","emphasizing",2
"5419","empire",13
"5420","empirical",2
"5421","employ",4
"5422","employed",8
"5423","employee",26
"5424","employees",50
"5425","employer",11
"5426","employers",7
"5427","employment",12
"5428","employs",5
"5429","emporium",2
"5430","empowered",2
"5431","empowering",3
"5432","empowerment",2
"5433","emptiness",2
"5434","empty",21
"5435","ems",2
"5436","emulate",3
"5437","emy",2
"5438","en",12
"5439","enable",5
"5440","enabled",4
"5441","enables",4
"5442","enact",3
"5443","enacted",3
"5444","enamul",2
"5445","encament",2
"5446","enceladus",2
"5447","enchiladas",2
"5448","enclosed",2
"5449","encore",4
"5450","encounter",8
"5451","encountered",9
"5452","encounters",2
"5453","encourage",30
"5454","encouraged",13
"5455","encouragement",6
"5456","encourages",6
"5457","encouraging",13
"5458","encyclopedia",3
"5459","end",288
"5460","endangered",2
"5461","endangering",2
"5462","endearing",3
"5463","endeavor",4
"5464","endeavors",4
"5465","endeavour",3
"5466","ended",65
"5467","ending",16
"5468","endings",2
"5469","endless",15
"5470","endlessly",2
"5471","endorphins",2
"5472","endorsed",5
"5473","endorsements",2
"5474","endorsing",3
"5475","endowments",2
"5476","ends",29
"5477","endure",6
"5478","endured",5
"5479","enduring",6
"5480","enemies",11
"5481","enemy",19
"5482","energetic",4
"5483","energies",2
"5484","energizer",2
"5485","energy",72
"5486","enfanti",2
"5487","enforce",4
"5488","enforced",2
"5489","enforcement",17
"5490","enforcers",2
"5491","enforces",2
"5492","engage",12
"5493","engaged",14
"5494","engagement",7
"5495","engages",4
"5496","engaging",13
"5497","engine",16
"5498","engineer",13
"5499","engineered",4
"5500","engineering",15
"5501","engineers",13
"5502","engines",9
"5503","england",40
"5504","englewood",2
"5505","english",62
"5506","enhance",6
"5507","enhancement",2
"5508","enhancing",3
"5509","enjoy",107
"5510","enjoyable",13
"5511","enjoyed",50
"5512","enjoying",31
"5513","enjoyment",4
"5514","enjoys",6
"5515","enlightening",2
"5516","enlisted",3
"5517","enormous",13
"5518","enormously",2
"5519","enough",229
"5520","enraged",4
"5521","enroll",2
"5522","enrolled",7
"5523","enrollment",5
"5524","ensemble",5
"5525","ensembles",2
"5526","ensnared",2
"5527","ensued",3
"5528","ensuing",2
"5529","ensure",24
"5530","ensures",2
"5531","ensuring",2
"5532","entail",2
"5533","entailed",2
"5534","entails",2
"5535","enteain",3
"5536","enteained",4
"5537","enteaining",10
"5538","enteainment",25
"5539","enteains",2
"5540","enter",41
"5541","entered",17
"5542","entering",20
"5543","enterprise",6
"5544","enterprises",2
"5545","enters",3
"5546","enthusiasm",6
"5547","enthusiastic",7
"5548","enthusiasts",3
"5549","entice",2
"5550","enticed",3
"5551","entire",80
"5552","entirely",23
"5553","entirety",4
"5554","entities",3
"5555","entitled",14
"5556","entitlement",4
"5557","entity",5
"5558","entrance",13
"5559","entranced",2
"5560","entrees",4
"5561","entrenched",2
"5562","entrepreneur",4
"5563","entrepreneurs",9
"5564","entries",15
"5565","entrusted",2
"5566","entry",19
"5567","entryway",2
"5568","entwistle",2
"5569","envelope",3
"5570","envious",2
"5571","environment",24
"5572","environmental",27
"5573","environmentalist",2
"5574","environmentally",4
"5575","environments",4
"5576","envision",2
"5577","envisioned",3
"5578","envy",6
"5579","eoin",2
"5580","eons",2
"5581","ep",3
"5582","epa",7
"5583","ephesians",3
"5584","epic",18
"5585","epically",2
"5586","epicurious",2
"5587","epidemiology",3
"5588","epidural",3
"5589","epilogue",2
"5590","epiphany",3
"5591","episcopal",2
"5592","episode",29
"5593","episodes",12
"5594","epitome",2
"5595","epitomize",2
"5596","epub",2
"5597","equal",18
"5598","equality",5
"5599","equally",16
"5600","equals",4
"5601","equate",2
"5602","equation",4
"5603","equient",32
"5604","equinox",4
"5605","equipped",6
"5606","equity",13
"5607","equivalent",9
"5608","er",8
"5609","era",33
"5610","erase",3
"5611","erased",2
"5612","erasure",2
"5613","ere",2
"5614","ereader",4
"5615","eric",20
"5616","erik",5
"5617","erin",4
"5618","ernest",2
"5619","ernst",2
"5620","erosion",2
"5621","erotic",3
"5622","err",2
"5623","erratic",2
"5624","error",11
"5625","errors",3
"5626","ers",9
"5627","erupted",5
"5628","es",6
"5629","escalator",2
"5630","escalators",5
"5631","escape",21
"5632","escaped",9
"5633","escapes",3
"5634","escaping",3
"5635","especially",134
"5636","espinosa",2
"5637","espionage",4
"5638","espn",11
"5639","espousing",2
"5640","espresso",3
"5641","esq",2
"5642","esque",2
"5643","essay",6
"5644","essays",7
"5645","essence",6
"5646","essences",2
"5647","essential",18
"5648","essentially",16
"5649","essex",6
"5650","est",9
"5651","establish",12
"5652","established",19
"5653","establishes",2
"5654","establishing",3
"5655","establishment",9
"5656","estate",23
"5657","estates",2
"5658","esteem",2
"5659","esteemed",2
"5660","esters",2
"5661","esther",5
"5662","estimate",10
"5663","estimated",26
"5664","estimates",9
"5665","estranged",2
"5666","estrogen",3
"5667","et",7
"5668","eta",2
"5669","etc",66
"5670","etch",2
"5671","etched",3
"5672","etchings",4
"5673","eternal",16
"5674","eternally",4
"5675","eternity",10
"5676","ethan",2
"5677","ether",2
"5678","ethereal",3
"5679","ethic",3
"5680","ethical",5
"5681","ethics",8
"5682","ethiopia",3
"5683","ethnic",8
"5684","ethnically",2
"5685","ethnicity",3
"5686","ethos",2
"5687","ethylene",2
"5688","etihad",3
"5689","etiquette",2
"5690","etsy",7
"5691","etta",2
"5692","etude",2
"5693","eu",12
"5694","euclid",2
"5695","eugene",10
"5696","eugenics",2
"5697","eureka",3
"5698","euro",12
"5699","europa",3
"5700","europe",33
"5701","european",39
"5702","euthanasia",3
"5703","euthanized",3
"5704","ev",3
"5705","eva",2
"5706","evacuation",2
"5707","evacuations",2
"5708","evaluate",7
"5709","evaluated",2
"5710","evaluation",7
"5711","evaluations",2
"5712","evan",4
"5713","evangelical",2
"5714","evangelicalism",2
"5715","evans",6
"5716","evaporated",4
"5717","evaporates",2
"5718","eve",10
"5719","evelyn",2
"5720","even",682
"5721","evening",64
"5722","evenings",4
"5723","evenly",7
"5724","event",100
"5725","eventful",2
"5726","events",86
"5727","eventual",5
"5728","eventually",49
"5729","ever",243
"5730","evergreen",5
"5731","evergreens",2
"5732","evernote",2
"5733","every",342
"5734","everybody",28
"5735","everyday",35
"5736","everyone",201
"5737","everything",188
"5738","everywhere",31
"5739","eviction",2
"5740","evictions",2
"5741","evidence",54
"5742","evidenced",2
"5743","evident",10
"5744","evidently",2
"5745","evil",35
"5746","evoke",2
"5747","evolution",7
"5748","evolve",3
"5749","evolved",9
"5750","evolving",2
"5751","ewc",2
"5752","ewing",2
"5753","ex",31
"5754","exacerbated",2
"5755","exact",20
"5756","exactly",68
"5757","exam",12
"5758","examination",7
"5759","examine",8
"5760","examined",6
"5761","examiner",2
"5762","examinership",4
"5763","examines",3
"5764","examining",4
"5765","example",87
"5766","examples",23
"5767","exams",5
"5768","exceed",6
"5769","exceeded",2
"5770","exceeds",2
"5771","excel",2
"5772","excellence",8
"5773","excellent",30
"5774","excels",3
"5775","except",38
"5776","excepting",2
"5777","exception",11
"5778","exceptional",10
"5779","exceptionally",5
"5780","exceptions",4
"5781","excess",9
"5782","excessive",4
"5783","exchange",19
"5784","exchanged",4
"5785","exchanges",2
"5786","excited",76
"5787","excitement",18
"5788","excites",3
"5789","exciting",28
"5790","exclude",5
"5791","excluded",4
"5792","excludes",3
"5793","excluding",7
"5794","exclusion",2
"5795","exclusive",8
"5796","exclusively",7
"5797","excursions",2
"5798","excuse",13
"5799","excuses",7
"5800","execute",5
"5801","executed",7
"5802","execution",7
"5803","executions",2
"5804","executive",45
"5805","executives",10
"5806","exempt",5
"5807","exemption",5
"5808","exercise",49
"5809","exercises",8
"5810","exercising",5
"5811","exhausted",10
"5812","exhausting",3
"5813","exhaustion",3
"5814","exhibit",10
"5815","exhibited",2
"5816","exhibition",10
"5817","exhibits",5
"5818","exist",14
"5819","existed",8
"5820","existence",22
"5821","existing",13
"5822","exists",12
"5823","exit",7
"5824","exo",3
"5825","exodus",2
"5826","exorbitant",2
"5827","exotic",9
"5828","expand",9
"5829","expanded",8
"5830","expanding",12
"5831","expansion",10
"5832","expat",3
"5833","expe",23
"5834","expect",57
"5835","expectation",4
"5836","expectations",17
"5837","expected",73
"5838","expecting",13
"5839","expects",12
"5840","expedite",2
"5841","expedition",5
"5842","expeise",9
"5843","expenditure",2
"5844","expense",15
"5845","expenses",9
"5846","expensive",29
"5847","experience",167
"5848","experienced",27
"5849","experiences",19
"5850","experiencing",11
"5851","experiment",10
"5852","experimental",10
"5853","experimentation",3
"5854","experimented",2
"5855","experiments",3
"5856","expes",23
"5857","expired",6
"5858","explain",37
"5859","explained",21
"5860","explaining",11
"5861","explains",12
"5862","explanation",13
"5863","explanations",4
"5864","explanatory",5
"5865","explicit",6
"5866","explicitly",5
"5867","explode",4
"5868","exploded",3
"5869","explodes",2
"5870","exploitation",5
"5871","exploited",3
"5872","exploits",2
"5873","exploration",7
"5874","explorations",2
"5875","explore",22
"5876","explored",3
"5877","explorer",2
"5878","explorers",4
"5879","explores",2
"5880","exploring",7
"5881","explosion",7
"5882","explosions",6
"5883","explosive",3
"5884","explosives",3
"5885","expo",5
"5886","expose",4
"5887","exposed",22
"5888","exposing",2
"5889","exposition",2
"5890","exposure",13
"5891","express",17
"5892","expressed",9
"5893","expressing",3
"5894","expression",9
"5895","expressionists",2
"5896","expressions",2
"5897","expressly",2
"5898","exquisite",4
"5899","extend",9
"5900","extended",18
"5901","extending",2
"5902","extension",17
"5903","extensions",2
"5904","extensive",9
"5905","extent",11
"5906","exterior",3
"5907","external",4
"5908","externally",2
"5909","extinction",2
"5910","extra",84
"5911","extract",5
"5912","extracurricular",2
"5913","extraordinary",16
"5914","extras",6
"5915","extreme",19
"5916","extremely",45
"5917","extremes",5
"5918","extremist",2
"5919","extremists",2
"5920","eye",58
"5921","eyeballs",2
"5922","eyebrow",3
"5923","eyebrows",3
"5924","eyed",8
"5925","eyeing",5
"5926","eyes",106
"5927","eyeshadow",2
"5928","eyewitness",3
"5929","ezekiel",4
"5930","f",45
"5931","fa",7
"5932","fab",3
"5933","fabric",23
"5934","fabrics",5
"5935","fabulous",21
"5936","fabulously",3
"5937","fac",2
"5938","facade",5
"5939","face",141
"5940","facebook",70
"5941","faced",18
"5942","faces",25
"5943","facet",2
"5944","facial",5
"5945","facilitate",3
"5946","facilitated",3
"5947","facilitating",2
"5948","facilities",15
"5949","facility",24
"5950","facing",16
"5951","fact",195
"5952","faction",2
"5953","facto",3
"5954","factor",21
"5955","factored",2
"5956","factories",2
"5957","factors",14
"5958","factory",13
"5959","facts",17
"5960","faculty",6
"5961","fade",3
"5962","faded",7
"5963","fades",2
"5964","fading",6
"5965","faher",7
"5966","fail",18
"5967","failed",46
"5968","failing",13
"5969","fails",10
"5970","failure",29
"5971","failures",6
"5972","faing",2
"5973","faint",6
"5974","faintly",2
"5975","fair",43
"5976","fairgrounds",3
"5977","fairies",2
"5978","fairlawn",2
"5979","fairly",35
"5980","fairness",5
"5981","fairview",3
"5982","fairy",13
"5983","faith",49
"5984","faithful",13
"5985","faithfulness",9
"5986","fake",17
"5987","falcon",6
"5988","fall",101
"5989","fallen",19
"5990","falling",33
"5991","fallon",3
"5992","falls",26
"5993","false",24
"5994","falsehood",3
"5995","falsehoods",2
"5996","fam",2
"5997","fame",13
"5998","famed",2
"5999","familial",2
"6000","familiar",26
"6001","families",53
"6002","family",292
"6003","famous",37
"6004","fan",55
"6005","fanatics",2
"6006","fancy",15
"6007","fandom",4
"6008","fang",2
"6009","fangs",2
"6010","fannie",3
"6011","fanny",2
"6012","fans",59
"6013","fantastic",29
"6014","fantastical",3
"6015","fantasy",27
"6016","far",212
"6017","fare",6
"6018","fares",2
"6019","farewell",2
"6020","fargo",2
"6021","farley",2
"6022","farm",31
"6023","farmer",15
"6024","farmers",22
"6025","farming",2
"6026","farms",11
"6027","farmworkers",2
"6028","farrell",5
"6029","fas",2
"6030","fascinated",7
"6031","fascinating",11
"6032","fascism",3
"6033","fascist",2
"6034","fashion",40
"6035","fashionable",7
"6036","fashioned",9
"6037","fashions",2
"6038","fast",64
"6039","faster",33
"6040","fastest",11
"6041","fasting",3
"6042","fat",31
"6043","fatal",2
"6044","fatalities",4
"6045","fatally",2
"6046","fate",19
"6047","fateful",2
"6048","fates",2
"6049","father",117
"6050","fathers",10
"6051","fatigue",3
"6052","fats",2
"6053","fatty",7
"6054","fault",9
"6055","faults",6
"6056","faulty",2
"6057","faust",2
"6058","faux",3
"6059","fav",3
"6060","fave",4
"6061","favor",19
"6062","favorable",4
"6063","favored",6
"6064","favorite",110
"6065","favorites",15
"6066","favors",6
"6067","favour",9
"6068","favourite",33
"6069","favourites",2
"6070","fawn",2
"6071","fazio",2
"6072","fb",5
"6073","fbi",6
"6074","fda",3
"6075","fdic",3
"6076","fdr",4
"6077","fe",3
"6078","fear",52
"6079","feared",3
"6080","fearless",4
"6081","fears",12
"6082","feasible",2
"6083","feast",7
"6084","feasting",2
"6085","feasts",2
"6086","feat",6
"6087","feather",7
"6088","feathers",4
"6089","feature",30
"6090","featured",26
"6091","features",35
"6092","featuring",24
"6093","feb",18
"6094","february",50
"6095","feces",2
"6096","fed",15
"6097","federal",109
"6098","federally",4
"6099","federation",6
"6100","fedora",2
"6101","feds",2
"6102","fee",15
"6103","feeble",4
"6104","feed",15
"6105","feedback",14
"6106","feeder",3
"6107","feeders",3
"6108","feeding",9
"6109","feedlot",2
"6110","feeds",3
"6111","feel",272
"6112","feeling",97
"6113","feelings",24
"6114","feels",49
"6115","fees",17
"6116","feet",66
"6117","feility",4
"6118","feilizing",2
"6119","feinstein",5
"6120","fell",60
"6121","fellow",29
"6122","fellowship",3
"6123","felony",6
"6124","felt",144
"6125","felton",5
"6126","female",34
"6127","females",3
"6128","feminine",11
"6129","femininity",2
"6130","feminism",2
"6131","feminist",3
"6132","fence",11
"6133","fences",5
"6134","fencing",2
"6135","fennel",8
"6136","fenway",7
"6137","fenwick",2
"6138","ferguson",5
"6139","fermentation",2
"6140","fermented",3
"6141","ferrari",4
"6142","ferry",2
"6143","fervently",2
"6144","fest",7
"6145","festival",39
"6146","festivals",6
"6147","festive",6
"6148","festivities",2
"6149","feta",2
"6150","fetch",4
"6151","fetish",6
"6152","feud",3
"6153","fever",11
"6154","fewer",14
"6155","fey",4
"6156","ff",3
"6157","ffs",2
"6158","fi",13
"6159","fianc",2
"6160","fiancee",2
"6161","fiasco",4
"6162","fiat",2
"6163","fiber",5
"6164","fibre",2
"6165","fiction",27
"6166","fictional",4
"6167","fiddle",3
"6168","fiddler",2
"6169","fide",2
"6170","fides",2
"6171","field",107
"6172","fielder",5
"6173","fieldhouse",2
"6174","fields",20
"6175","fiend",2
"6176","fiends",2
"6177","fierce",9
"6178","fiery",5
"6179","fifteen",9
"6180","fifth",38
"6181","fifty",7
"6182","fight",67
"6183","fighter",5
"6184","fighters",4
"6185","fighting",31
"6186","fights",7
"6187","figure",62
"6188","figured",17
"6189","figures",23
"6190","figurines",2
"6191","figuring",11
"6192","file",28
"6193","filed",29
"6194","files",14
"6195","filing",12
"6196","filings",6
"6197","filipino",3
"6198","fill",36
"6199","filled",62
"6200","fillet",2
"6201","filling",11
"6202","fillmore",4
"6203","fills",6
"6204","film",128
"6205","filmed",9
"6206","filming",8
"6207","filmmaker",5
"6208","filmmakers",7
"6209","filmmaking",3
"6210","films",36
"6211","filter",4
"6212","filtered",2
"6213","filth",3
"6214","filthy",2
"6215","fin",3
"6216","final",99
"6217","finale",7
"6218","finalist",2
"6219","finalists",3
"6220","finally",166
"6221","finals",3
"6222","finance",13
"6223","finances",5
"6224","financial",60
"6225","financially",6
"6226","financing",2
"6227","find",344
"6228","finding",44
"6229","findings",6
"6230","finds",26
"6231","fine",83
"6232","fined",4
"6233","finely",6
"6234","finer",3
"6235","fines",2
"6236","finest",3
"6237","fingeips",2
"6238","finger",24
"6239","fingerprint",2
"6240","fingers",32
"6241","finish",79
"6242","finished",72
"6243","finisher",2
"6244","finishes",4
"6245","finishing",17
"6246","finite",2
"6247","finland",3
"6248","finn",3
"6249","finnish",2
"6250","finns",2
"6251","fins",6
"6252","fiona",2
"6253","fir",4
"6254","fire",88
"6255","firebombs",2
"6256","fired",24
"6257","firefighter",4
"6258","firefighters",11
"6259","firefly",5
"6260","fires",5
"6261","firestone",2
"6262","fireworks",3
"6263","firing",9
"6264","firm",38
"6265","firmly",10
"6266","firms",14
"6267","first",824
"6268","firstenergy",2
"6269","firsthand",3
"6270","firstly",7
"6271","firsts",2
"6272","fiscal",12
"6273","fischer",4
"6274","fish",61
"6275","fished",2
"6276","fisher",10
"6277","fisheries",2
"6278","fisherman",2
"6279","fishermen",3
"6280","fishing",21
"6281","fishman",2
"6282","fishy",2
"6283","fist",5
"6284","fists",2
"6285","fit",66
"6286","fitness",6
"6287","fits",3
"6288","fitted",6
"6289","fitter",2
"6290","fitting",10
"6291","fittings",3
"6292","fitzgerald",7
"6293","five",179
"6294","fix",22
"6295","fixation",2
"6296","fixed",16
"6297","fixing",6
"6298","fixture",3
"6299","fixtures",2
"6300","fl",7
"6301","fla",4
"6302","flac",2
"6303","flag",13
"6304","flags",9
"6305","flailed",2
"6306","flair",2
"6307","flake",2
"6308","flaky",2
"6309","flame",11
"6310","flamenco",2
"6311","flames",6
"6312","flaming",2
"6313","flamingo",2
"6314","flamingos",2
"6315","flapjack",2
"6316","flares",4
"6317","flash",16
"6318","flashbacks",2
"6319","flashes",3
"6320","flashing",2
"6321","flashlight",4
"6322","flashy",2
"6323","flat",32
"6324","flatly",2
"6325","flats",4
"6326","flatten",2
"6327","flatter",5
"6328","flattering",6
"6329","flavor",31
"6330","flavored",8
"6331","flavorful",5
"6332","flavors",12
"6333","flavour",7
"6334","flavoured",2
"6335","flaw",3
"6336","flawed",3
"6337","flawlessly",2
"6338","flaws",5
"6339","flecked",2
"6340","fled",12
"6341","fledgling",2
"6342","flee",2
"6343","fleece",2
"6344","fleet",5
"6345","fleeting",4
"6346","fleming",4
"6347","flesh",15
"6348","fletcher",6
"6349","fleurimond",2
"6350","flew",11
"6351","flexibility",7
"6352","flexible",4
"6353","fli",2
"6354","flick",2
"6355","flicker",3
"6356","flickering",2
"6357","flickr",8
"6358","flied",4
"6359","flies",9
"6360","flight",15
"6361","flights",10
"6362","flimsy",3
"6363","fling",2
"6364","flinging",2
"6365","flip",13
"6366","flipped",3
"6367","flipping",3
"6368","flips",4
"6369","float",4
"6370","floating",9
"6371","floats",4
"6372","flock",6
"6373","flocked",2
"6374","flood",18
"6375","flooded",6
"6376","flooding",2
"6377","floor",70
"6378","flooring",2
"6379","floors",6
"6380","floppy",2
"6381","flora",4
"6382","floral",3
"6383","florence",4
"6384","florentine",2
"6385","florida",37
"6386","florists",15
"6387","floundering",2
"6388","flour",22
"6389","flourish",5
"6390","flourishes",2
"6391","flourishing",3
"6392","flow",17
"6393","flowed",2
"6394","flower",25
"6395","flowering",2
"6396","flowers",39
"6397","flowing",3
"6398","flown",3
"6399","flows",3
"6400","floyd",3
"6401","flu",6
"6402","fluctuations",2
"6403","fluency",2
"6404","fluffy",5
"6405","fluid",7
"6406","fluidly",2
"6407","fluids",5
"6408","fluke",2
"6409","flung",3
"6410","flurry",3
"6411","flush",2
"6412","flushed",2
"6413","flute",4
"6414","fluted",2
"6415","flux",3
"6416","fly",34
"6417","flyer",3
"6418","flyers",4
"6419","flying",27
"6420","flynn",2
"6421","fm",8
"6422","fo",13
"6423","foam",11
"6424","focal",3
"6425","focus",75
"6426","focused",21
"6427","focuses",7
"6428","focusing",5
"6429","fodder",2
"6430","foes",2
"6431","fog",9
"6432","foh",21
"6433","fohcoming",4
"6434","foified",2
"6435","foil",14
"6436","foiling",2
"6437","fold",9
"6438","folded",5
"6439","folder",5
"6440","folds",2
"6441","foley",4
"6442","folk",7
"6443","folks",43
"6444","follow",103
"6445","followed",58
"6446","follower",5
"6447","followers",16
"6448","following",99
"6449","follows",25
"6450","folly",2
"6451","folsom",2
"6452","fond",6
"6453","fondly",4
"6454","fonight",3
"6455","font",3
"6456","foo",2
"6457","food",180
"6458","foods",24
"6459","foof",2
"6460","fool",11
"6461","fooled",5
"6462","foolish",7
"6463","foot",51
"6464","footage",13
"6465","football",57
"6466","foothill",2
"6467","foothold",3
"6468","footsteps",2
"6469","footwear",2
"6470","foray",2
"6471","forbearance",2
"6472","forbes",2
"6473","forbid",4
"6474","forbidden",2
"6475","force",70
"6476","forced",29
"6477","forces",30
"6478","forcing",9
"6479","ford",20
"6480","fore",4
